id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Kings,MC Vertex,hip hop,energetic,0.80,95,0.70,0.85,0.12
12,Fading Portrait,Elara Strings,classical,melancholic,0.30,66,0.25,0.20,0.95
13,Neon Horizon,Pulsewave,edm,euphoric,0.95,128,0.88,0.90,0.03
14,Dust Road Home,Clay Hollow,country,nostalgic,0.50,100,0.55,0.52,0.68
15,Velvet Hours,Sable Moon,r&b,romantic,0.45,88,0.62,0.65,0.40
16,Iron Verdict,Ashfall,metal,aggressive,0.97,160,0.30,0.45,0.02
17,Willow Path,June Harbor,folk,peaceful,0.33,82,0.58,0.38,0.90
18,Island Time,Sunlit Roots,reggae,uplifting,0.60,92,0.80,0.72,0.35
19,Groove Machine,The Funk Unit,funk,playful,0.78,112,0.82,0.88,0.15
20,Empty Barroom,Delta Sorrow,blues,sorrowful,0.42,74,0.28,0.44,0.72
